url,title,publish_date,offense_type,location,timeframe,content
https://www.ndtv.com/india-news/delhi-court-acquits-man-of-rape-directs-perjury-proceedings-against-woman-8093933,"Delhi Court Acquits Man Of Rape, Directs Perjury Proceedings Against Woman",N/A,"rape, molestation",New Delhi,Timeframe unknown (article published on N/A),"Delhi Court Acquits Man Of Rape, Directs Perjury Proceedings Against Woman
Additional Sessions Judge Anuj Agrawal was hearing the case against the man, who was accused of raping the complainant in a hotel here on the intervening night of November 23-24, 2019.
Press Trust of India
India News
Apr 05, 2025 17:10 pm IST
Read Time:
3 mins
Share
The court said that the woman's statements had ""inherent contradictions"".
New Delhi:
It takes one's lifetime to build a reputation, but a few lies can destroy it, said a Delhi court while acquitting a man of rape charge and directing initiation of perjury proceedings against the woman for filing a false case.
Additional Sessions Judge Anuj Agrawal was hearing the case against the man, who was accused of raping the complainant in a hotel here on the intervening night of November 23-24, 2019.
""It is evident from record that prosecutrix gave false deposition before this court and concocted a mendacious story of rape/threat,"" the court said in its verdict dated April 4 and acquitted the accused.
The court noted that the woman had filed six similar rape and molestation cases in past against different persons and according to Delhi Police she was ""in habit of giving false complaint of molestation and eve-teasing"".
The court said that her statements had ""inherent contradictions"".
Noting the facts of the case, the judge said, ""The said circumstances, if seen cumulatively, unerringly lead to only one inference that victim entrapped accused in a preplanned manner, which further stands fortified in light of testimony of defence witnesses 1 and 2, who categorically deposed that victim had made a demand of Rs seven lakhs for stating in favour of accused so that he can be released on bail. There are no palpable reasons to disbelieve the version of defence witnesses."" The additional sessions judge said the courts acted as ""healers to administer panacea of justice to the wounds of the aggrieved"" instead of merely adjudicating upon the aspects of guilt or innocence.
""The word 'aggrieved' cannot be confined only to complainants, but there may be cases where even the accused become the real sufferer, standing before the court with folded hands and beseeching justice for themselves,"" he said.
The judge said that a simple acquittal could not recompense the agony of the accused, who had to undergo the ""trauma of trial"" for the heinous offence of rape and criminal intimidation based on a false story.
""It takes one's lifetime to build a reputation but only few lies to destroy the same,"" the judge said, directing initiation of perjury proceedings against the woman.
(Except for the headline, this story has not been edited by NDTV staff and is published from a syndicated feed.)
Track Latest News Live on NDTV.com and get news updates from India and around the world
Follow us:
Man Acquitted In Rape Case, Perjury Notice, Delhi Court"
https://www.ndtv.com/delhi-news/breached-trust-delhi-court-awards-life-sentence-to-man-for-raping-minor-neighbour-7919278,"35-Year-Old Delhi Man Jailed For Life For Raping, Impregnating Minor Girl",N/A,rape,New Delhi,Timeframe unknown (article published on N/A),"35-Year-Old Delhi Man Jailed For Life For Raping, Impregnating Minor Girl
The convict, a neighbour of the victim, was someone she trusted and referred to as 'uncle.' The child born from the assault has since been placed for adoption.
Asian News International
Delhi News
Mar 14, 2025 06:55 am IST
Read Time:
3 mins
Share
The court has awarded compensation of Rs 19.5 lakh to the victim for her rehabilitation.
New Delhi:
Delhi's Tis Hazari Court on Thursday sentenced a man to life imprisonment for raping and impregnating a minor girl. The case was registered under the POCSO Act at Nihal Vihar Police Station in 2024.
The convict, a neighbour of the victim, was someone she trusted and referred to as 'uncle.' The child born from the assault has since been placed for adoption.
""The convict did not care that the victim used to call him 'uncle' or that she was his neighbour's daughter. In our Indian culture, when parents go somewhere, they ask their neighbours to take care of their children. The convict has betrayed and breached that trust,"" the court said in the order.
Special Judge (POCSO) Babita Puniya sentenced the convict to life imprisonment (for the remainder of his life) under section 6 of the POCSO Act. The Judge remarked, ""In my considered view, the convict's conduct has rendered this offence more serious.""
""For the offence punishable under section 6 of POCSO, he (Convict) is sentenced to undergo rigorous imprisonment for life, which shall mean imprisonment for the remainder of his natural life and to pay a fine of Rs. 10,000,"" the court ordered on March 10.
The court had convicted the accused on January 30, 2025, for the offence punishable under sections 5 (j) (ii) & (l) read with section 6 of the POCSO Act and section 376 (2) (n)/506 Part II IPC. No separate sentence for section 376 (Rape) has been awarded by the court.
The court observed, ""The victim was an innocent, helpless 'child', who was sexually assaulted by her neighbour whom she used to call 'Uncle'; he abused his position of trust which he had as a neighbour in the life of the victim.""
The court has awarded compensation of Rs 19.5 lakh to the victim for her rehabilitation under the victim compensation scheme.
The prosecution had prayed for the strictest and severest sentence to be awarded to the convict. Special Public Prosecutor (SPP) prayed that argued that the convict repeatedly raped the girl, but throughout the trial he denied his complicity in the crime and at no point of time did he show any remorse for his horrific act.
""Thus, according to learned Prosecutor, he should not be allowed back into the society keeping in view the interest of society which demands that wanton criminal acts as displayed by the convict should be punished proportionately,"" the court noted the submissions of SPP.
On the other hand, the counsel for the accused prayed for leniency in awarding the punishment. It was submitted that the convict is a young man aged about 35. He is the sole bread earner of his family, which consists of an old mother, a wife, and two minor children. He is illiterate, belongs to the lower strata of society and is a first-time offender without any criminal history.
The court rejected the contention of the defence counsel.
(Except for the headline, this story has not been edited by NDTV staff and is published from a syndicated feed.)
Track Latest News Live on NDTV.com and get news updates from India and around the world
Follow us:
Delhi High Court, Rape, Life Imprisonment"
https://www.ndtv.com/india-news/british-woman-who-came-to-delhi-to-meet-instagram-friend-raped-by-him-7913341,British Woman Allegedly Raped In Delhi Hotel By Man She Met on Instagram,N/A,rape,the woman approached the Vasant Kunj (Police Station Area),Timeframe unknown (article published on N/A),"British Woman Allegedly Raped In Delhi Hotel By Man She Met on Instagram
Police have said the British woman had come to India for a holiday in Maharashtra and Goa
Reported by:
Mukesh Singh Sengar
Edited by:
Saikat Kumar Bose
India News
Mar 13, 2025 13:34 pm IST
Read Time:
2 mins
Share
New Delhi:
A British citizen, who came to Delhi to meet a man she befriended on Instagram, was raped by him at a Mahipalpur hotel. The police have arrested the accused, Kailash, in a rape case and his friend, Wasim, has been charged with molesting the UK tourist.
Police have said the woman had come to India for a holiday in Maharashtra and Goa. She called Kailash from there and asked him to join her. Kailash said he could not travel and asked her to come to Delhi. The woman reached Delhi on Tuesday and lodged at a hotel in Mahipalpur. She then called Kailash and he reached the hotel with his friend Wasim. He allegedly raped her that night.
The next morning, the woman approached the Vasant Kunj police station and registered a complaint. As per guidelines, police have informed the British High Commission about the incident and they are assisting the UK national too.
Kailash, it is learnt, works at a private firm. The woman has told police that he struggled to speak English and used Google Translate to communicate with her.
Track Latest News Live on NDTV.com and get news updates from India and around the world
Follow us:
British Woman Raped In Delhi, UK Woman Raped In Delhi"
https://www.ndtv.com/india-news/how-can-there-be-a-price-tag-on-survivor-suffering-delhi-court-pocso-rape-case-7862909,"""How Can There Be A Price Tag On Survivor's Suffering"": Court In Rape Case",N/A,"rape, sexual assault, sexual harassment, kidnapping",New Delhi,Timeframe unknown (article published on N/A),"""How Can There Be A Price Tag On Survivor's Suffering"": Court In Rape Case
On the compensation scheme for POCSO survivors, the court said a survivor's suffering had no price tag.
Press Trust of India
India News
Mar 06, 2025 18:35 pm IST
Read Time:
3 mins
Share
The convict was sentenced to a rigorous jail term of seven years each.
New Delhi:
A Delhi court has sentenced a man to life-term imprisonment in a case of kidnapping and rape of a minor in 2021 and said a clear message had to be sent out that violators of POCSO law will be held accountable.
Additional sessions judge Susheel Bala Dagar heard the case against the 31-year-old convict punished under Section 6 (aggravated penetrative sexual assault) of the POCSO Act and IPC for the offences of rape, kidnapping and criminal intimidation.
On the compensation scheme for POCSO survivors, the court said a survivor's suffering had no price tag.
""In any beneficial scheme or legislation, there cannot be a concept of maximum. How can there be a price tag on the suffering of the survivor? No amount of compensation can undo the trauma. The least that can be done to help the survivor is to get his/her life back on track,"" the court said.
The court awarded a Rs 10.5 lakh compensation, saying it would assist in the survivor's rehabilitation.
Additional public prosecutor Yogita Kaushik Dahiya argued the convict deserved no leniency for the reprehensible and despicable act as he kidnapped the girl on by luring her with eatables on July 26, 2021.
Dahiya argued the convict raped the minor while threatening her with a knife. The prosecutor said he was convicted of rape by a court in Uttar Pradesh as well.
In a verdict passed on March 5, the court said, ""A clear message that anyone who violates the POCSO Act will be held accountable for their actions must be sent to society at large by imposing a penalty that is proportionate to the act of sexual assault or sexual harassment. In the present case, the convict is found to be having perverse lust for sex."" It was the society's responsibility, the court said, to protect children from sexual abuse as the psychological scars of such abuse were indelible.
""Taking into consideration the aggravating and mitigating circumstances, including gravity of the offence, the age of the victim and convict, the earlier involvement of the convict in a similar offence, social and economic factors governing them, the convict is sentenced for life imprisonment for the offence under section 6 of the POCSO Act,"" it held.
The convict was further sentenced to a rigorous jail term of seven years each for the offences of kidnapping and criminal intimidation which was directed to run concurrently. 
(Except for the headline, this story has not been edited by NDTV staff and is published from a syndicated feed.)
Track Latest News Live on NDTV.com and get news updates from India and around the world
Follow us:
Delhi Police"
https://www.ndtv.com/india-news/pune-bus-stand-rape-case-dy-chandrachud-nirbhaya-delhi-gangrape-remember-nirbhaya-asks-dy-chandrachud-7807215,"""Remember Nirbhaya?"" DY Chandrachud On Pune Bus Rape Case",N/A,rape,metres from a (Police Station Area),Timeframe unknown (article published on N/A),"""Remember Nirbhaya?"" DY Chandrachud On Pune Bus Rape Case
In December last year, on the 12th anniversary of the Delhi rape case, 'Nirbhaya's' mother lamented the fact women are still largely unsafe across India.
NDTV News Desk
India News
Feb 27, 2025 15:53 pm IST
Read Time:
4 mins
Share
New Delhi:
The Pune rape case - a young woman was raped Tuesday morning, 100 metres from a police station and in a bus in the city's bus Swargate Bus Stand - has led to outrage, with Maharashtra deputy chief ministers Eknath Shinde and Ajit Pawar demanding death for the accused.
It has also re-ignited conversations around rape laws in India, which were supposed to have been overhauled, and made tougher, after the horrific rape-murder of a woman in Delhi in 2012.
The inhuman and barbaric assault - which included her rapists forcing iron rods into her vagina - was condemned by the United Nations and she was immortalised as 'Nirbhaya', or 'fearless'.
How effective that overhaul, which included changing the definition of the word 'rape' and prescribing a minimum jail term of 20 years for rapists killing or causing their target to be in a ""persistent vegetative state"" - was is unclear. It has not stopped the flood of rapes reported since, including many in which items and substances were forced into women's vaginas.
On the efficacy of the changes in the law, ex-Supreme Court Chief Justice DY Chandrachud weighed in Thursday afternoon, saying, ""A lot of changes were made following the 'Nirbhaya' incident... but we cannot prevent such incidents by just having these laws.""
VIDEO | Former Chief Justice of India DY Chandrachud on Pune bus rape incident says, ""A lot of changes were made in the laws following the 'Nirbhaya' incident, however, we can not prevent such incident by only having laws. There is a great responsibility on the society and apart… pic.twitter.com/hN3Vb0WcHc
— Press Trust of India (@PTI_News) February 27, 2025
""There is a great responsibility on society and, apart from this, there should be implementation of these laws. Laws made for women should be implemented properly,"" he said.
""Women should feel safe wherever they go. It is important that in such cases there should be proper investigation, strong action, quick trial and punishment. The legal system and the police have a big responsibility (to make this happen),"" the former Chief Justice stressed.
What 'Nirbhaya's' Mother Said
In December last year, on the 12th anniversary of the Delhi rape case, 'Nirbhaya's' mother lamented the fact women are still largely unsafe across India.
""It is with great pain that I want to say that even after 12 years the circumstances have not changed...The daughters of the country are not safe..."" she said, fighting back tears, at the National Convention on Prevention of Violence Against Women and Children.
READ | 12 Years After Nirbhaya', Mother Says Women Still Unsafe In India
""Jo bhi humara kanoon hai uspe sahi mayane mein kaam ho taki humari bacchiyon ko insaaf mile (Whatever laws we have they should be a law in real sense so that our daughters get justice).""
'Nirbhaya's' mother, Asha Devi, led the long and exhausting fight for justice for her daughter (File).
In between the 'Nirbhaya' and Pune bus rapes, there have seen many such barbaric attacks, including the dreadful rape-murder of a junior doctor in Bengal, in Kolkata's RG Kar Hospital, in August last year and the gangrape of 20-year-old Dalit woman in Uttar Pradesh's Hathras.
There have also been countless reports of minors being sexually assaulted and killed, often by members of their family, people morally tasked with ensuring their physical and mental safety.
Pune Bus Stand Rape
The alleged rape took place between 5.45 am and 6 am on Tuesday.
The young woman, a domestic, was waiting to board a bus to her hometown in Satara district when she was accosted by the accused, who has been identified as Dattatraya Ramdas Gade, a 36-year-old man with six criminal cases against him and who has been out on bail since 2019.
Gade has been on the run since the rape.
READ | Pune Rape Accused Hiding In Sugarcane Field? Drones Used
Pune Police, under fire for failing to adequately secure the bus stand, formed 13 special teams to track him down. Earlier today sources told NDTV Gade had been tracked to his hometown.
There are acres of sugarcane fields in that area, and he is believed to be hiding in that vast tract of land. The cops have deployed drones and sniffer dogs to capture him, sources said.
The police have also offered a reward of Rs 1 lakh for Gade's capture.
Apart from the police and the Maharashtra Road Transport Corporation, which operates that bus stand, the state's ruling Mahayuti alliance, led by the BJP, has also been criticised.
READ | Pune Woman Raped In Bus By Man On Bail Since 2019
Opposition leaders - from the Congress and the Shiv Sena and NCP factions led by Uddhav Thackeray and Sharad Pawar - have slammed Chief Minister Devendra Fadnavis' government for failing to ensure women's safety. Mr Fadnavis also heads the state's Home Department.
With input from agencies
NDTV is now available on WhatsApp channels. Click on the link to get all the latest updates from NDTV on your chat.
Track Latest News Live on NDTV.com and get news updates from India and around the world
Follow us:
DY Chandrachud, Pune Bus Stand Rape Case, Nirbhaya"
https://www.ndtv.com/india-news/give-free-treatment-to-rape-acid-attack-survivors-delhi-high-courts-landmark-order-7321937,"""Give Free Treatment To Rape, Acid Attack Survivors"": Delhi High Court's Landmark Order",N/A,rape,New Delhi,Timeframe unknown (article published on N/A),"""Give Free Treatment To Rape, Acid Attack Survivors"": Delhi High Court's Landmark Order
The Court clarified that ""treatment"" includes first aid, diagnosis, inpatient care, outpatient follow-ups, diagnostic and laboratory tests, surgeries if needed, physical and mental counselling, psychological support, and family counselling.
Asian News International
India News
Dec 24, 2024 16:22 pm IST
Read Time:
2 mins
Share
Survivors in these cases often require urgent medical intervention, the court noted (File)
New Delhi:
In a landmark order, the Delhi High Court on Tuesday directed that victims of rape, acid attacks, sexual assaults, and survivors of POCSO (Protection of Children from Sexual Offences) cases are entitled to free medical treatment at government and private hospitals, as well as nursing homes.
A division bench comprising Justice Prathiba M. Singh and Justice Amit Sharma ruled that all Central and State Government-funded institutions, as well as private hospitals, clinics, and nursing homes, must comply with the directive to ensure that survivors of rape, acid attacks, and POCSO cases receive immediate medical care and necessary services.
The Court clarified that ""treatment"" includes first aid, diagnosis, inpatient care, outpatient follow-ups, diagnostic and laboratory tests, surgeries if needed, physical and mental counselling, psychological support, and family counselling.
The Court noted that a significant number of rape and POCSO cases regularly come before the judiciary. Survivors in these cases often require urgent medical intervention or prolonged medical assistance, including hospital admission, diagnostics, surgical procedures, medications, and counselling services.
Despite existing provisions under the BNSS or CrPC, as well as guidelines issued by the Ministry of Health and Family Welfare (MoHFW), the Court observed that survivors of sexual violence and acid attacks continue to face challenges in accessing free medical treatment.
The Court issued several key directives, including the circulation of its ruling to all courts dealing with sexual offences, such as POCSO Courts, Criminal Courts, and Family Courts.
The directive aims to ensure that all victims and survivors, in accordance with Section 397 of the BNS (Section 357C of the CrPC), are informed of their legal rights. The Court also mandated that appropriate steps be taken to refer such cases to the relevant medical establishments--whether public, government, or private--whenever courts encounter cases requiring medical assistance for victims or survivors.
(Except for the headline, this story has not been edited by NDTV staff and is published from a syndicated feed.)
Track Latest News Live on NDTV.com and get news updates from India and around the world
Follow us:
Rape Case, Rape Case Delhi, Delhi News"
https://www.ndtv.com/surat-news/delhi-rape-case-accused-arrested-from-gujarat-after-chase-of-1500-kms-7290271,"Delhi Rape Case Accused Arrested From Gujarat After Chase Of 1,500 Km",N/A,"rape, sexual assault","Bawana, Badli",Timeframe unknown (article published on N/A),"Delhi Rape Case Accused Arrested From Gujarat After Chase Of 1,500 Km
The accused was apprehended by the NR-I Crime Branch from Surat, Gujarat, after an extensive 1500 km chase.
Asian News International
Surat News
Dec 20, 2024 09:48 am IST
Read Time:
2 mins
Share
accused had been absconding since the registration of the case, Delhi police said.
New Delhi:
Delhi Crime branch team arrested a 25-year-old man involved in a rape case in Badli, Delhi after an extensive 1500 km chase to Surat in Gujarat. The accused had been absconding since the registration of the case, Delhi police said on Thursday.
A process of proclamation was also initiated against the accused in the present case. The accused was apprehended by the NR-I Crime Branch from Surat, Gujarat, after an extensive 1500 km chase.
""The complainant, an employee in Bagwan Pura, had been befriended by the accused while working together. Under the pretext of trust, he administered an intoxicating substance and committed sexual assault while capturing explicit photos and videos. He used these recordings to blackmail the victim, coercing her into further physical relations. The victim courageously reported the matter, leading to the registration of the case at PS SP Badli,"" Delhi police said.
Delhi police said that on December 16 actionable intelligence revealed the accused was hiding in Jai Ambey Nagar, Surat, Gujarat. Acting swiftly, the team conducted a raid and apprehended the accused, bringing him to justice.
The accused, Kuldeep, hails from District Deoria, Uttar Pradesh, and completed his education up to the 8th standard. He has been residing in Bawana, Delhi, for the past 5-6 years and is currently employed as a welder in a factory in the area, Delhi police said.
Police further said that a mobile phone containing explicit videos and photos was used for blackmail and sextortion.
(Except for the headline, this story has not been edited by NDTV staff and is published from a syndicated feed.)
Track Latest News Live on NDTV.com and get news updates from India and around the world
Follow us:
Rape Case Accused, Badli Rape Case, Delhi Crime Branch"
https://www.ndtv.com/india-news/consensual-relationship-tuition-teacher-acquitted-in-minor-students-rape-case-7189051,"""Consensual Relationship"": Tuition Teacher Acquitted In Minor Student's Rape Case",N/A,"rape, sexual assault",New Delhi,Timeframe unknown (article published on N/A),"""Consensual Relationship"": Tuition Teacher Acquitted In Minor Student's Rape Case
Additional sessions judge Ajay Nagar was hearing the case against a tuition teacher against whom the girl, a class 12 student at that time, got a complaint registered alleging she had been repeatedly raped between 2015 and 2018, besides being threatened and forced to watch porn.
Press Trust of India
India News
Dec 06, 2024 21:28 pm IST
Read Time:
3 mins
Share
The court underlined material contradictions in the girl's statements. (Representational)
New Delhi:
A Delhi court has acquitted a man in an alleged case of rape of his minor student in 2019 and observed the complainant was in a consensual relationship with him.
Additional sessions judge Ajay Nagar was hearing the case against a tuition teacher against whom the girl, a class 12 student at that time, got a complaint registered alleging she had been repeatedly raped between 2015 and 2018, besides being threatened and forced to watch porn.
The court, however, underlined material contradictions in the girl's statements.
In a 45-page judgement passed on December 5, the court considered the evidence and held, ""Accused is acquitted of all charges..."" Elaborating on the reasons behind its verdict, the court said the prosecution could not prove the complainant was a minor at the time of the alleged offence and therefore the provision for aggravated penetrative sexual assault under the Protection of Children from Sexual Offence Act could not be invoked.
It noted the complainant's testimony of having looked at a ""vulgar picture inadvertently"" and resiling from her statement that the accused showed her pornographic videos.
""Moreover, the explanation given by the survivor for not disclosing such facts of sexual abuse to her family members or police is not plausible,"" the court said, ""after the alleged rape, the girl did not raise an alarm and instead, she accompanied the accused, who dropped her home"".
Noting her testimony about being ""attracted"" towards the accused and writing him ""love letters"", the court held the girl was having ""a consensual and romantic relationship"" with the accused.
It took note of submissions of defence counsels Nivesh Sharma and Ritu Singh about the complainant wanting to marry the accused, but getting a false rape case registered as he married another woman.
""It is clear from the record that the accused got married to some other woman somewhere in the year 2018 but before the registration of FIR in the present case. No plausible explanation has been given for not making the complaint against the accused for more than three years which clearly shows that it was the case of a consensual and romantic relationship between the accused and the survivor,"" said the court.
The complainant continued with her tuition classes despite the sexual assault, it underscored.
""It is highly improbable that a girl would go to such a place continuously despite the fact that penetrative sexual assaults are repeatedly being committed upon her forcibly,"" the court pointed out.
The verdict further observed the absence of forensic evidence against the accused and held the mere fact that the complainant's hymen was found ruptured, did not prove the offence.
""There is nothing on record to prove the fact that penetrative sexual assaults were committed upon the survivor by the accused except from the testimony of the survivor but it is not reliable, trustworthy and does not inspire the confidence of the court as there are material contradictions,"" the court said.
It said though an accused could be convicted based on the survivor's sole testimony, it had to be of a ""sterling quality"".
(Except for the headline, this story has not been edited by NDTV staff and is published from a syndicated feed.)
Track Latest News Live on NDTV.com and get news updates from India and around the world
Follow us:
Delhi Court, Delhi Rape"
https://www.ndtv.com/india-news/unnao-rape-case-delhi-high-court-grants-interim-bail-to-kuldeep-sengar-on-medical-ground-7176644,Unnao Rape Case: Kuldeep Sengar Gets Interim Bail On Medical Ground,N/A,rape,New Delhi,Timeframe unknown (article published on N/A),"Unnao Rape Case: Kuldeep Sengar Gets Interim Bail On Medical Ground
Kuldeep Singh Sengar is also serving a 10-year jail term in connection with the custodial death of the Unnao rape victim's father.
Press Trust of India
India News
Dec 05, 2024 12:12 pm IST
Read Time:
3 mins
Share
Kuldeep Singh Sengar sought interim bail on the grounds that he was suffering from various ailments
New Delhi:
The Delhi High Court on Thursday granted a two-week interim bail on medical grounds to expelled BJP leader Kuldeep Singh Sengar who is serving life term for raping a minor in Uttar Pradesh's Unnao in 2017.
A bench headed by Justice Prathiba M Singh suspended the sentence for the time being and directed that Sengar be admitted to AIIMS-Delhi for his medical evaluation and must remain in the capital once discharged.
""Considering the history of the case as also the medical condition of the applicant, it is directed that the applicant will be released on interim bail for two weeks and he shall seek admission in AIIMS Delhi for a comprehensive medical evaluation,"" the bench, also comprising Justice Amit Sharma, said.
The court sought a report from the medical board of AIIMS and listed the matter for hearing on December 20.
Sengar is also serving a 10-year jail term in connection with the custodial death of the Unnao rape victim's father. His plea for interim bail in that case is still pending before another bench of the high court.
Sengar sought interim bail on the grounds that he was suffering from various ailments, like cataract, that required urgent attention.
The plea was opposed by the victim's lawyer as well as the CBI.
Sengar's appeal challenging the trial court's verdict in the main Unnao rape case is pending in the high court.
He has sought quashing of the December 2019 judgement of the trial court which sentenced him to imprisonment for the remainder of his life.
The girl was kidnapped and raped by Sengar in 2017 when she was a minor.
On March 13, 2020, Sengar was sentenced to 10 years' rigorous imprisonment and was fined Rs 10 lakh, in connection with the case of custodial death of the rape victim's father. The court had also awarded a 10-year jail term to Sengar's brother Atul Singh Sengar and five others.
The father of the rape victim was arrested at the behest of Sengar in a case under the Arms Act. He died in custody on April 9, 2018.
The rape case and other connected cases were transferred to Delhi from a trial court in Uttar Pradesh on the directions of the Supreme Court on August 1, 2019. PTI ADS VN VN
(Except for the headline, this story has not been edited by NDTV staff and is published from a syndicated feed.)
Track Latest News Live on NDTV.com and get news updates from India and around the world
Follow us:
Delhi High Court, Kuldeep Singh Sengar, Unnao Rape Case"
https://www.ndtv.com/india-news/23-year-old-woman-arrested-over-involvement-in-minors-rape-case-in-punjab-6988785,23-Year-Old Woman Arrested Over Involvement In Minor's Rape Case In Punjab,N/A,"rape, gang rape",which was registered at the Kanjhawala (Police Station Area),Timeframe unknown (article published on N/A),"23-Year-Old Woman Arrested Over Involvement In Minor's Rape Case In Punjab
The accused was declared a proclaimed offender in the case, which was registered at the Kanjhawala police station here five years ago, officials said.
Press Trust of India
India News
Nov 10, 2024 23:24 pm IST
Read Time:
2 mins
Share
The two accused men are still at large, the police said. (Representational)
New Delhi:
The Delhi Police has arrested a 23-year-old woman from Ludhiana over her alleged involvement in the rape case of a minor, officials said on Sunday.
The accused was declared a proclaimed offender in the case, which was registered at the Kanjhawala police station here five years ago, they said.
According to a senior police officer, the incident took place in November 2019. The victim, then 15-year-old, was initially reported missing by her family, prompting a search operation.
Upon investigation, it emerged that the minor had been lured by one Geeta. The woman allegedly took the teenager to Surat in Gujarat, where she was allegedly held captive, drugged, and repeatedly raped by two men, said the officer.
The girl's statement was recorded in 2020 after the woman abandoned her in Delhi. She told the police that two men --"" Pintu and Satinder -- allegedly raped her repeatedly for around four months, acting on Geeta's direction.
She claimed the SIM card of her phone was destroyed and she was completely cut off from contacting anyone, the officer said.
Based on the minor's statement, several Indian Penal Code sections 328 (causing hurt by poison to commit an offence), 376D (gang rape), and 120B (criminal conspiracy), along with Section 6 of the Protection of Children from Sexual Offences (POCSO) Act, he said.
Several police teams were formed to catch the accused, but Geeta managed to evade arrest by frequently changing locations.
She was finally caught on Saturday when the police received a tip-off regarding her location in Janta Nagar, Ludhiana in Punjab from where she was arrested.
The two accused men are still at large, the police said.
(Except for the headline, this story has not been edited by NDTV staff and is published from a syndicated feed.)
Track Latest News Live on NDTV.com and get news updates from India and around the world
Follow us:
Punjab News, Punjab News Latest, Punjab News Today"
